Date,Open,High,Low,Close
2025-06-10,100.0,101.39,98.09,100.49
2025-06-11,100.49,102.51,98.55,100.56
2025-06-12,100.56,103.02,99.94,101.05
2025-06-13,101.05,102.43,100.11,101.02
2025-06-14,101.02,102.25,99.49,100.79
2025-06-15,100.79,102.28,99.62,101.34
2025-06-16,101.34,102.5,99.64,101.37
2025-06-17,101.37,103.17,99.95,100.67
2025-06-18,100.67,102.48,99.27,100.24
2025-06-19,100.24,100.9,98.33,99.71
2025-06-20,99.71,101.64,98.65,99.44
2025-06-21,99.44,100.08,97.36,99.15
2025-06-22,99.15,99.83,96.81,98.42
2025-06-23,98.42,99.34,96.23,97.96
2025-06-24,97.96,99.83,96.85,98.13
2025-06-25,98.13,99.87,96.44,98.25
2025-06-26,98.25,99.21,97.36,98.25
2025-06-27,98.25,98.9,96.2,97.24
2025-06-28,97.24,99.44,95.37,97.6
2025-06-29,97.6,99.92,96.05,98.58
2025-06-30,98.58,100.86,96.99,98.89
2025-07-01,98.89,100.97,97.15,99.05
2025-07-02,99.05,100.25,97.2,98.82
2025-07-03,98.82,100.5,97.59,98.38
2025-07-04,98.38,99.68,96.67,98.74
2025-07-05,98.74,100.57,96.87,99.43
2025-07-06,99.43,100.99,97.49,98.61
2025-07-07,98.61,99.24,96.79,98.35
2025-07-08,98.35,100.01,97.43,98.99
2025-07-09,98.99,99.99,96.67,98.67
