Date,Open,High,Low,Close
2025-06-10,100.0,102.29,98.36,100.92
2025-06-11,100.92,103.45,99.05,102.32
2025-06-12,102.32,104.69,100.65,102.87
2025-06-13,102.87,103.79,100.25,101.78
2025-06-14,101.78,103.28,100.43,101.24
2025-06-15,101.24,102.86,98.5,100.07
2025-06-16,100.07,101.86,98.09,99.42
2025-06-17,99.42,102.69,97.81,101.17
2025-06-18,101.17,102.77,97.3,99.12
2025-06-19,99.12,103.11,97.41,101.17
2025-06-20,101.17,102.84,98.75,99.81
2025-06-21,99.81,101.28,98.97,100.18
2025-06-22,100.18,102.29,99.62,100.48
2025-06-23,100.48,101.68,99.7,101.17
2025-06-24,101.17,103.33,100.05,102.42
2025-06-25,102.42,103.98,100.01,101.54
2025-06-26,101.54,102.25,98.85,100.52
2025-06-27,100.52,101.49,98.31,99.85
2025-06-28,99.85,103.08,98.52,101.1
2025-06-29,101.1,102.53,97.8,99.04
2025-06-30,99.04,100.9,96.05,97.54
2025-07-01,97.54,100.47,95.8,98.62
2025-07-02,98.62,99.51,96.33,97.7
2025-07-03,97.7,98.46,95.25,96.34
2025-07-04,96.34,99.53,95.04,97.99
2025-07-05,97.99,99.77,96.21,98.74
2025-07-06,98.74,101.66,97.28,99.95
2025-07-07,99.95,100.58,98.17,98.83
2025-07-08,98.83,100.02,97.84,98.46
2025-07-09,98.46,99.21,96.46,98.3
