Date,Open,High,Low,Close
2025-06-10,100.0,102.91,99.1,101.29
2025-06-11,101.29,105.05,100.36,104.1
2025-06-12,104.1,105.48,103.08,104.69
2025-06-13,104.69,107.49,102.94,106.57
2025-06-14,106.57,109.71,106.01,108.87
2025-06-15,108.87,112.02,107.22,110.89
2025-06-16,110.89,112.32,108.54,109.64
2025-06-17,109.64,111.58,107.65,110.3
2025-06-18,110.3,112.56,109.22,110.77
2025-06-19,110.77,112.03,109.53,110.57
2025-06-20,110.57,113.19,109.26,111.74
2025-06-21,111.74,116.44,110.56,114.93
2025-06-22,114.93,115.99,111.23,112.71
2025-06-23,112.71,113.51,109.51,111.11
2025-06-24,111.11,115.14,109.65,113.65
2025-06-25,113.65,115.74,111.75,114.82
2025-06-26,114.82,116.62,113.56,116.08
2025-06-27,116.08,116.94,114.51,116.32
2025-06-28,116.32,117.66,115.09,116.78
2025-06-29,116.78,119.49,115.05,118.7
2025-06-30,118.7,122.87,117.24,120.9
2025-07-01,120.9,122.37,119.5,121.31
2025-07-02,121.31,124.72,120.63,123.77
2025-07-03,123.77,125.39,122.76,123.51
2025-07-04,123.51,127.08,122.42,125.78
2025-07-05,125.78,128.2,124.34,127.55
2025-07-06,127.55,130.21,126.75,129.45
2025-07-07,129.45,132.61,128.75,130.98
2025-07-08,130.98,135.15,130.42,133.46
2025-07-09,133.46,135.91,132.34,134.67
