X,Y,Size
0.0,112.11,5.5
2.04,90.77,10.9
4.08,100.18,12.1
6.12,95.67,18.1
8.16,102.88,7.1
10.2,94.46,8.4
12.24,84.32,10.4
14.29,92.65,9.7
16.33,76.76,9.3
18.37,81.16,8.4
20.41,100.53,12.3
22.45,80.31,10.3
24.49,67.89,16.3
26.53,78.67,19.0
28.57,95.21,7.4
30.61,72.42,5.3
32.65,61.2,11.4
34.69,60.34,13.6
36.73,58.8,9.4
38.78,62.38,12.6
40.82,59.35,12.9
42.86,46.19,5.8
44.9,35.91,13.4
46.94,36.83,10.4
48.98,28.06,14.6
51.02,56.21,15.3
53.06,36.2,6.2
55.1,50.9,9.8
57.14,41.54,12.1
59.18,38.71,10.4
61.22,42.98,10.8
63.27,39.34,12.3
65.31,28.12,15.2
67.35,45.38,5.7
69.39,44.17,17.5
71.43,32.03,8.6
73.47,29.49,19.0
75.51,12.37,12.3
77.55,8.37,13.8
79.59,12.39,5.1
81.63,7.83,15.4
83.67,17.7,12.0
85.71,15.95,11.1
87.76,22.33,15.3
89.8,5.94,7.8
91.84,-17.23,17.3
93.88,-1.55,9.1
95.92,1.82,15.2
97.96,11.97,19.8
100.0,1.69,8.6
