X,Y,Size
0.0,53.68,15.8
2.04,48.3,15.3
4.08,52.7,18.1
6.12,49.01,16.6
8.16,49.88,13.7
10.2,53.01,14.4
12.24,46.45,15.4
14.29,51.16,11.8
16.33,51.88,8.8
18.37,51.46,16.3
20.41,42.69,11.6
22.45,49.24,19.2
24.49,50.17,16.8
26.53,44.68,13.5
28.57,54.75,17.6
30.61,54.03,14.6
32.65,51.69,12.3
34.69,60.79,5.8
36.73,52.73,18.5
38.78,54.4,11.7
40.82,51.78,14.2
42.86,46.85,7.1
44.9,51.87,18.8
46.94,44.32,8.0
48.98,56.32,12.9
51.02,51.01,15.3
53.06,51.2,15.2
55.1,43.26,8.0
57.14,48.46,11.9
59.18,48.8,10.6
61.22,49.02,17.4
63.27,50.2,11.7
65.31,45.6,10.0
67.35,49.62,18.7
69.39,53.92,9.5
71.43,51.69,8.8
73.47,58.62,14.0
75.51,48.29,19.6
77.55,60.61,17.7
79.59,41.88,7.6
81.63,49.35,10.7
83.67,47.86,6.1
85.71,60.42,8.8
87.76,42.8,15.1
89.8,53.95,10.2
91.84,49.51,14.0
93.88,47.89,5.3
95.92,56.3,10.2
97.96,53.51,14.1
100.0,54.87,9.2
