X,Y,Size
58.29,97.55,6.1
72.55,5.54,14.9
4.43,40.76,12.8
94.06,25.43,14.1
88.9,61.69,15.3
68.08,40.14,14.4
8.31,86.28,8.3
98.11,82.77,7.3
38.95,53.72,16.8
43.7,52.78,14.7
21.08,64.64,9.9
54.94,5.38,10.8
62.13,46.03,5.6
71.1,88.43,6.9
57.0,85.28,17.6
98.37,24.53,19.6
33.44,51.59,13.9
21.78,35.93,17.0
28.48,7.38,16.5
65.39,14.15,10.0
66.0,18.58,5.7
39.57,26.95,14.2
55.05,6.54,14.5
43.53,82.34,11.2
57.4,88.67,16.7
91.77,94.02,17.4
6.64,95.15,16.7
85.02,27.44,19.1
97.24,54.54,15.9
65.71,27.42,7.0
9.75,1.38,11.3
34.01,84.93,10.0
66.28,40.49,9.3
45.29,21.97,13.7
54.0,46.46,17.9
95.92,35.71,7.4
37.8,36.71,13.4
41.82,97.87,14.3
28.75,74.9,11.5
49.38,25.38,9.6
81.59,27.98,9.8
60.7,55.34,6.6
56.9,32.31,18.6
29.11,80.69,19.0
99.96,22.69,12.0
13.17,17.42,9.9
27.24,16.96,9.9
21.86,72.57,12.5
91.66,87.86,6.9
35.94,97.54,8.3
