X,Y,Size
0.0,4.95,14.6
2.04,11.98,6.5
4.08,-11.16,10.1
6.12,4.79,10.8
8.16,7.8,10.3
10.2,8.35,7.4
12.24,10.42,11.7
14.29,18.41,6.7
16.33,13.97,14.5
18.37,12.34,18.1
20.41,21.94,14.5
22.45,25.87,8.0
24.49,23.28,5.0
26.53,34.91,12.5
28.57,36.21,5.2
30.61,29.95,14.5
32.65,34.16,8.2
34.69,36.85,10.5
36.73,35.3,18.5
38.78,36.49,11.3
40.82,38.13,14.0
42.86,48.6,10.1
44.9,45.33,6.9
46.94,25.9,9.0
48.98,42.84,19.0
51.02,47.33,15.3
53.06,53.32,6.4
55.1,47.94,11.2
57.14,49.37,14.5
59.18,50.85,9.9
61.22,64.45,18.6
63.27,61.37,14.3
65.31,60.45,13.0
67.35,71.99,6.9
69.39,64.77,15.3
71.43,72.01,11.5
73.47,90.45,12.4
75.51,55.97,7.7
77.55,60.65,5.1
79.59,80.71,6.1
81.63,78.39,15.6
83.67,100.96,19.0
85.71,94.04,13.5
87.76,78.62,13.7
89.8,86.88,9.1
91.84,76.9,7.2
93.88,96.52,9.1
95.92,85.58,18.3
97.96,91.03,9.6
100.0,106.6,18.3
